title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,ISBN_13
Think Stats: Exploratory Data Analysis, Allen B. Downey,25.49,226,4.2,137.0,0.65,0.15,0.07,0.06,0.07,"O'Reilly Media; 2nd edition (November 11, 2014)",978-1491907337
"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",,24.95,472,4.6,108.0,0.79,0.1,0.07,0.02,0.01,"Independently published (February 4, 2022)", 
"Statistical Analysis of fMRI Data, second edition (The MIT Press)", F. Gregory Ashby,59.36,568,5.0,2.0,1.0,0.0,0.0,0.0,0.0,"The MIT Press; second edition (September 17, 2019)",978-0262042680
Time Series for Data Science: Analysis and Forecasting (Chapman & Hall/CRC Texts in Statistical Science),,96.0,506,5.0,3.0,1.0,0.0,0.0,0.0,0.0,"Chapman and Hall/CRC; 1st edition (August 1, 2022)",
Categorical Data Analysis (Wiley Series in Probability and Statistics), Alan Agresti,31.3,734,4.4,24.0,0.61,0.24,0.12,0.03,0.0,"Wiley-Interscience; 2nd edition (July 22, 2002)",Usually ships within 2 to 3 days.
"Microsoft Office 365 For Beginners: The 1# Crash Course From Beginners To Advanced. Easy Way to Master The Whole Suite in no Time | Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams & Access", Leonard J. Ledger,18.97,131,5.0,442.0,0.97,0.03,0.0,0.0,0.0,"Independently published (September 26, 2022)",979-8354840113
"Beginners Guide to Data Visualization: How to Understand, Design, and Optimize Over 40 Different Charts (All Things Data)",,15.99,222,4.8,11.0,0.8,0.2,0.0,0.0,0.0,"Kenneth M Fornari (October 11, 2022)",978-1777967161
Introduction to Machine Learning with R: Rigorous Mathematical Analysis, Scott V. Burger,40.49,226,4.1,21.0,0.59,0.09,0.19,0.07,0.07,"O'Reilly Media; 1st edition (April 17, 2018)",978-1491976449
Statistical Analysis with R For Dummies (For Dummies (Computers)), Joseph Schmuller,19.59,464,4.6,279.0,0.7,0.22,0.05,0.02,0.01,"For Dummies; 1st edition (March 20, 2017)",978-1119337065
Hands-On Exploratory Data Analysis with R: Become an expert in exploratory data analysis using R packages," Radhika Datar,  and , Harish Garg",30.99,266,3.4,7.0,0.22,0.35,0.21,0.22,0.0,"Packt Publishing (May 31, 2019)",978-1789804379
Qualitative and Mixed Methods Data Analysis Using Dedoose: A Practical Approach for Research Across the Social Sciences," Michelle Suzanne Salmona, Eli Lieber, et al.",48.99,280,4.3,19.0,0.64,0.16,0.12,0.07,0.0,"SAGE Publications, Inc; 1st edition (September 21, 2019)",978-1506397818
Qualitative Data Analysis with NVivo," Kristi Jackson,  and , Pat Bazeley",47.85,376,4.6,110.0,0.77,0.14,0.05,0.01,0.02,"SAGE Publications Ltd; Third edition (May 31, 2019)",978-1526449948
"An Introduction to Categorical Data Analysis, 3rd Edition (Wiley Series in Probability and Statistics)", Agresti,92.83,394,4.4,48.0,0.64,0.19,0.12,0.05,0.0,"Wiley; 3rd edition (November 5, 2018)", 
"Pharmacokinetic and Pharmacodynamic Data Analysis: Concepts and Applications, Second Edition"," Johan Gabrielsson,  and , Daniel Weiner",233.6,1040,4.4,14.0,0.8,0.06,0.06,0.08,0.0,"Swedish Pharmaceutical Press; 5th edition (January 26, 2017)",978-9198299106
"SQL Practice Problems: 57 beginning, intermediate, and advanced challenges for you to solve using a “learn-by-doing” approach", Sylvia Moestl Vasilik,27.49,125,4.4,493.0,0.69,0.17,0.05,0.03,0.06,"Independently published (March 13, 2017)",978-1520807638
R in Action: Data Analysis and Graphics with R, Dr. Rob Kabacoff,51.0,608,4.6,254.0,0.77,0.13,0.05,0.02,0.03,"Manning; 2nd edition (June 6, 2015)",978-1617291388
Black Feminism in Qualitative Inquiry: A Mosaic for Writing Our Daughter's Body (Futures of Data Analysis in Qualitative Research),,38.81,146,4.9,51.0,0.9,0.07,0.03,0.0,0.0,"Routledge; 1st edition (February 7, 2019)",978-1138486225
Machine Learning: A First Course for Engineers and Scientists," Andreas Lindholm, Niklas Wahlström, et al.",69.99,350,5.0,4.0,1.0,0.0,0.0,0.0,0.0,"Cambridge University Press; New edition (June 2, 2022)", 
Python Data Analysis - Second Edition, Armando Fandango,51.99,330,3.9,9.0,0.44,0.19,0.2,0.16,0.0,"Packt Publishing; 2nd Revised edition (March 27, 2017)",978-1787127487
Exploratory Data Analysis with MATLAB (Chapman & Hall/CRC Computer Science & Data Analysis),,41.49,832,4.0,3.0,0.34,0.33,0.33,0.0,0.0,"Chapman and Hall/CRC; 3rd edition (August 7, 2017)",
Malware Data Science: Attack Detection and Attribution," Joshua Saxe,  and , Hillary Sanders",44.83,272,4.6,93.0,0.73,0.17,0.08,0.01,0.01,"No Starch Press (September 25, 2018)",978-1593278595
"Econometric Analysis of Cross Section and Panel Data, second edition (The MIT Press)", Jeffrey M. Wooldridge,115.0,1096,4.5,119.0,0.76,0.13,0.04,0.03,0.04,"The MIT Press; second edition (October 1, 2010)",978-0262232586
